,City,Lat,Lng,temp,Cloudiness,Country,Date,Humidity,Max Temp,Wind Speed
158,marovoay,-16.1,46.63,69.8,0,MG,1592438668,52,69.8,11.41
159,ust-uda,54.17,103.03,57.16,15,RU,1592438668,54,57.16,3.22
160,ratnagiri,16.98,73.3,80.89,100,IN,1592438668,84,80.89,12.66
161,praya,14.92,-23.51,82.4,4,CV,1592438585,58,82.4,17.22
162,sao miguel do araguaia,-13.28,-50.16,71.83,0,BR,1592438423,55,71.83,4.94
163,shimoda,34.67,138.95,73.4,75,JP,1592438668,83,73.4,8.05
164,iwanai,42.97,140.51,61.0,95,JP,1592438668,89,61.0,2.66
165,bathsheba,13.22,-59.52,82.4,20,BB,1592438669,74,82.4,17.22
166,bubaque,11.28,-15.83,79.92,14,GW,1592438669,87,79.92,15.57
167,yellowknife,62.46,-114.35,63.0,40,CA,1592438639,44,63.0,16.11
168,kargasok,59.06,80.86,56.75,62,RU,1592438669,74,56.75,8.23
169,brovary,50.5,30.77,66.99,21,UA,1592438458,93,66.99,4.47
170,pitimbu,-7.47,-34.81,73.4,7,BR,1592438669,88,73.4,5.82
171,bundaberg,-24.85,152.35,71.01,13,AU,1592438670,72,71.01,8.05
172,bolobo,-2.17,16.23,71.98,27,CD,1592438670,63,71.98,2.24
173,touros,-5.2,-35.46,73.4,20,BR,1592438569,94,73.4,3.36
174,chkalovsk,56.76,43.24,64.4,75,RU,1592438670,100,64.4,7.81
175,ambilobe,-13.2,49.05,62.4,7,MG,1592438670,62,62.4,3.67
176,yarada,17.65,83.27,80.6,90,IN,1592438670,94,80.6,2.24
177,chuy,-33.7,-53.46,66.38,100,UY,1592438671,81,66.38,12.08
178,sao filipe,14.9,-24.5,76.15,2,CV,1592438671,79,76.15,13.2
179,fredericton,45.95,-66.67,78.8,1,CA,1592438587,41,78.8,13.87
180,tazovskiy,67.47,78.7,38.64,40,RU,1592438387,75,38.64,8.72
181,ushtobe,45.25,77.98,60.35,2,KZ,1592438671,60,60.35,12.41
182,te anau,-45.42,167.72,42.13,25,NZ,1592438671,72,42.13,7.25
183,boajibu,8.18,-11.33,74.66,73,SL,1592438671,96,74.66,2.62
184,koslan,63.46,48.9,39.72,19,RU,1592438672,82,39.72,3.33
185,awjilah,29.11,21.29,68.27,0,LY,1592438672,70,68.27,10.8
186,guane,22.2,-84.09,79.72,100,CU,1592438672,82,79.72,6.55
187,hithadhoo,-0.6,73.08,84.18,54,MV,1592438672,74,84.18,8.34
188,portland,45.52,-122.68,73.99,40,US,1592438427,43,73.99,6.93
189,mahebourg,-20.41,57.7,69.8,75,MU,1592438555,88,69.8,18.34
190,avarua,-21.21,-159.78,71.6,53,CK,1592438650,78,71.6,6.93
191,manthani,18.65,79.67,79.29,100,IN,1592438672,79,79.29,9.15
192,villazon,-22.09,-65.59,48.87,65,BO,1592438672,35,48.87,13.09
193,hidalgo,20.5,-99.0,70.54,0,MX,1592438673,63,70.54,10.36
194,aplahoue,6.93,1.68,74.17,68,BJ,1592438673,95,74.17,3.65
195,wajir,1.75,40.06,74.41,84,KE,1592438673,67,74.41,16.98
196,kudahuvadhoo,2.67,72.89,83.3,70,MV,1592438673,77,83.3,6.89
197,yumen,40.28,97.2,74.82,99,CN,1592438673,18,74.82,8.88
198,praia da vitoria,38.73,-27.07,62.6,75,PT,1592438673,82,62.6,8.39
199,coaticook,45.13,-71.8,78.8,20,CA,1592438674,44,78.8,5.82
200,anadyr,64.75,177.48,69.8,20,RU,1592438465,46,69.8,8.95
201,selenginsk,52.01,106.86,55.4,48,RU,1592438674,66,55.4,2.24
202,kaitangata,-46.28,169.85,48.99,8,NZ,1592438674,52,48.99,11.01
203,bambous virieux,-20.34,57.76,69.8,75,MU,1592438674,88,69.8,18.34
204,aloleng,16.13,119.78,83.75,76,PH,1592438674,76,83.75,6.04
205,mehamn,71.04,27.85,48.38,10,NO,1592438674,69,48.38,5.91
206,rognan,67.1,15.39,53.01,100,NO,1592438675,81,53.01,0.69
207,oga,46.46,10.35,46.4,75,IT,1592438675,100,46.4,2.24
208,ancud,-41.87,-73.82,50.0,75,CL,1592438675,87,50.0,11.41
209,peoria,40.77,-89.77,84.2,1,US,1592438675,35,84.2,9.17
210,pisco,-13.7,-76.22,66.2,0,PE,1592438675,77,66.2,13.87
211,kawakawa,-35.38,174.07,61.0,82,NZ,1592438675,96,61.0,11.99
212,bonthe,7.53,-12.51,79.0,76,SL,1592438676,87,79.0,6.62
213,aksarka,66.56,67.8,39.27,52,RU,1592438676,73,39.27,9.84
214,karratha,-20.74,116.85,72.07,0,AU,1592438676,48,72.07,5.88
215,chapais,49.78,-74.85,86.0,1,CA,1592438676,37,86.0,12.75
216,la ronge,55.1,-105.28,50.0,90,CA,1592438676,71,50.0,14.99
217,goderich,43.75,-81.72,79.0,0,CA,1592438676,56,79.0,4.29
218,airai,-8.93,125.41,62.83,63,TL,1592438677,91,62.83,5.84
219,thinadhoo,0.53,72.93,83.8,59,MV,1592438677,77,83.8,7.52
220,coihaique,-45.58,-72.07,41.0,40,CL,1592438531,86,41.0,5.82
221,the valley,18.22,-63.06,84.2,20,AI,1592438530,70,84.2,10.29
222,iquique,-20.22,-70.14,62.6,38,CL,1592438677,77,62.6,13.87
223,fortuna,40.6,-124.16,68.0,40,US,1592438677,68,68.0,17.22
224,qingdao,36.1,120.37,66.2,40,CN,1592438448,93,66.2,2.24
225,ostrovnoy,68.05,39.51,42.64,2,RU,1592438678,78,42.64,9.57
226,hambantota,6.12,81.12,80.47,81,LK,1592438678,85,80.47,12.73
227,lyngseidet,69.58,20.22,48.2,1,NO,1592438678,76,48.2,5.82
228,halifax,44.65,-63.57,66.0,34,CA,1592438633,69,66.0,8.1
229,mapiripan,2.89,-72.13,75.54,79,CO,1592438678,85,75.54,2.84
230,semey,50.41,80.23,59.0,75,KZ,1592438678,77,59.0,11.18
231,codrington,-38.27,141.97,52.77,70,AU,1592438679,74,52.77,14.7
232,haines junction,60.75,-137.51,61.88,45,CA,1592438679,43,61.88,11.5
233,altamira,-3.2,-52.21,77.47,76,BR,1592438475,77,77.47,2.28
234,novyy urengoy,66.08,76.63,42.67,17,RU,1592438679,64,42.67,9.98
235,lebu,-37.62,-73.65,52.68,82,CL,1592438531,85,52.68,18.97
236,vardo,70.37,31.11,45.21,8,NO,1592438679,81,45.21,10.6
237,los llanos de aridane,28.66,-17.92,71.6,13,ES,1592438680,68,71.6,3.36
238,montepuez,-13.13,39.0,62.85,62,MZ,1592438680,80,62.85,10.38
239,namanyere,-7.52,31.05,54.57,0,TZ,1592438680,70,54.57,6.98
240,margate,51.38,1.39,60.01,100,GB,1592438533,100,60.01,1.01
241,ocampo,21.65,-101.5,73.11,57,MX,1592438680,36,73.11,14.41
242,lock haven,41.14,-77.45,75.99,89,US,1592438680,78,75.99,2.77
243,saint-augustin,51.23,-58.65,56.64,100,CA,1592438681,81,56.64,10.6
244,marshall,34.38,-86.33,75.0,90,US,1592438681,56,75.0,9.17
245,kismayo,-0.36,42.55,78.01,38,SO,1592438681,79,78.01,16.51
246,shenjiamen,29.96,122.3,80.28,68,CN,1592438681,80,80.28,10.98
247,guerrero negro,27.98,-114.06,70.84,0,MX,1592438539,59,70.84,18.84
248,lipari,38.47,14.95,70.0,2,IT,1592438681,80,70.0,4.0
249,araouane,18.9,-3.53,98.78,2,ML,1592438681,8,98.78,9.82
250,orichi,58.4,49.06,44.56,0,RU,1592438682,74,44.56,4.85
251,taltal,-25.4,-70.48,60.39,0,CL,1592438682,64,60.39,3.6
252,fare,-16.7,-151.02,82.22,100,PF,1592438682,77,82.22,12.44
253,valparaiso,-33.04,-71.63,53.6,75,CL,1592438539,76,53.6,4.7
254,melfort,52.87,-104.62,46.4,90,CA,1592438682,100,46.4,18.34
255,walvis bay,-22.96,14.51,73.4,0,NA,1592438682,20,73.4,17.22
256,yuci,37.68,112.73,64.4,0,CN,1592438682,68,64.4,2.24
257,ribeira grande,38.52,-28.7,63.23,94,PT,1592438683,78,63.23,10.09
258,jutai,-5.18,-68.9,78.04,63,BR,1592438683,76,78.04,1.68
259,pevek,69.7,170.31,43.59,100,RU,1592438683,63,43.59,9.04
260,port hardy,50.7,-127.42,60.8,75,CA,1592438479,72,60.8,6.93
261,alta floresta,-9.88,-56.09,72.45,10,BR,1592438683,73,72.45,3.58
262,bontang,0.13,117.5,78.49,72,ID,1592438683,89,78.49,6.89
263,maniitsoq,65.42,-52.9,37.08,39,GL,1592438684,81,37.08,8.25
264,pavlodar,52.3,76.95,48.2,53,KZ,1592438684,81,48.2,4.47
